TAREA;CONFIGURACIÓN ;DURACIÓN ;TAREAS/SEG;ACELERACIÓN;EFICIENCIA
1;Secuencial;0,22;4,48;;
1;2 NUCLEOS;0,25;4,05;1,1;45,24
1;4 NUCLEOS;0,2;4,94;1,09;27,56
1;6 NUCLEOS;0,21;4,89;1,09;18,19
1;8 NUCLEOS;0,21;4,87;1,08;13,57
1;12 NUCLEOS;0,21;4,86;1,08;6,77
2;Secuencial;0,42;4,71;;
2;2 NUCLEOS;0,28;7,18;1,53;76,28
2;4 NUCLEOS;0,27;7,5;1,59;39,85
2;6 NUCLEOS;0,22;8,93;1,9;31,6
2;8 NUCLEOS;0,38;5,21;1,11;13,84
2;12 NUCLEOS;0,22;9,2;1,95;12,22
3;Secuencial;0,66;4,58;;
3;2 NUCLEOS;0,47;6,38;1,39;69,66
3;4 NUCLEOS;0,37;8,16;1,78;44,58
3;6 NUCLEOS;0,24;12,45;2,72;45,32
3;8 NUCLEOS;0,21;14,29;3,12;39,01
3;12 NUCLEOS;0,21;13,99;3,06;19,1
4;Secuencial;0,87;4,58;;
4;2 NUCLEOS;0,45;8,86;1,93;96,67
4;4 NUCLEOS;0,22;18,6;4,06;101,44
4;6 NUCLEOS;0,22;18,36;4;66,75
4;8 NUCLEOS;0,2;19,64;4,29;53,57
4;12 NUCLEOS;0,2;19,89;4,34;27,12
5;Secuencial;1,03;4,84;;
5;2 NUCLEOS;0,65;7,65;1,58;79,1
5;4 NUCLEOS;0,42;11,92;2,46;61,6
5;6 NUCLEOS;0,2;24,64;5,1;84,94
5;8 NUCLEOS;0,21;24,08;4,98;62,25
5;12 NUCLEOS;0,21;23,26;4,81;30,06
